"device_id","eui_id","platform","category","lat","lng","altitude","ETH_dist"
4672,"eui-240ac4fffe008d4c",NA,NA,47.392,8.51488,NA,2.98493731108995
5233,"eui-b827ebfffec66eb5","IMST + Rpi"," IMST + Rpi",47.3473,8.72326,464,13.6453715503204
5385,"eui-fffeb827eb637d55",NA,NA,47.4028,8.61207,NA,5.6802734476859
5629,"eui-240ac4fffe00c3aa",NA,NA,47.3949,8.52051,NA,2.86867454312855
5710,"eui-b827ebfffe8f9534","Multi-channel DIY gateway Raspberry Pi with Link Labs Gateway Board"," Multi Channel",47.4943,8.71657,457,18.2599816091838
5868,"eui-b827ebfffe182581","IMST + Rpi"," IMST + Rpi",47.2423,8.53039,NA,14.9845084738746
5909,"eui-fcc23dfffe0feec6","LORIX One"," LORIX",47.3904,8.78758,-1,18.1539819056595
5943,"eui-b827ebfffebf49f2",NA,NA,47.4142,8.54982,443,4.18859878050234
6017,"eui-b827ebfffe798708","IMST + Rpi"," IMST + Rpi",47.3494,8.58403,529,4.09521065456792
6206,"eui-b827ebfffe6d6758","IMST + Rpi"," IMST + Rpi",47.4288,8.5412,440,5.82606979615101
6216,"eui-b827ebfffe107254","IMST + Rpi"," IMST + Rpi",47.4288,8.5412,440,5.82606979615101
6270,"eui-fffeb827eb6fe125",NA,NA,47.3849,8.49289,405,4.20172280487151
6565,"eui-b827ebfffeee2ebf",NA,NA,47.4584,8.44327,340,12.0036160179162
6667,"adnovum_zh_01",NA,NA,47.4298,8.5379,430,5.96134166930883
6767,"eui-0002fcc23d0e102a","LORIX One"," LORIX",47.5038,8.72726,450,19.5776535443962
6771,"eui-0003fcc23d0de4e9","LORIX One"," LORIX",47.5108,8.69756,445,18.7198076282621
6772,"eui-0004fcc23d1140ad","LORIX One"," LORIX",47.4909,8.74988,457,19.8431384464425
6795,"eui-b827ebfffef863c4","IMST + Rpi"," IMST + Rpi",47.3242,8.7866,41,18.9434611619278
7421,"eui-b827ebfffe0b7478","IMST + Rpi"," IMST + Rpi",47.2481,8.36303,480,19.927424590259
7473,"bazinga_lora","The Things Gateway v1 - BL r1-7167873a (2017-06-02T13:48:18Z) - Firmware v1.0.0-917719b9 (2017-06-26T17:59:33Z)"," The Things Gateway v1",47.4205,8.50616,NA,5.7845336102527
7816,"eui-b827ebfffe80bc45","IMST + Rpi"," IMST + Rpi",47.4988,8.7237,NA,18.992217999621
8000,"hasligate01","The Things Gateway v1 - BL r1-7167873a (2017-06-02T13:48:18Z) - Firmware v1.0.5-fa89b993 (2018-07-17T08:11:52Z)"," The Things Gateway v1",47.4661,8.50346,460,10.488063189861
8089,"snm60","The Things Gateway v1 - BL r1-7167873a (2017-06-02T13:48:18Z) - Firmware v1.0.5-fa89b993 (2018-07-17T08:11:52Z)"," The Things Gateway v1",47.3389,8.44304,540,8.90207367241248
8191,"eui-b827ebfffece11bf","IMST + Rpi"," IMST + Rpi",47.2781,8.62038,430,12.2558344543999
8237,"eui-0004f3fffe07297c",NA,NA,47.3853,8.53863,NA,1.170824384131
8533,"eui-b827ebfffe399fbb",NA,NA,47.2041,8.58278,666,19.363243422811
8689,"eui-b827ebfffe3d6968","IMST + Rpi"," IMST + Rpi",47.3436,8.53583,503,3.76679140366135
8956,"eui-fb10b827eba289cc","IMST + Rpi"," IMST + Rpi",47.3158,8.55281,421,6.76984311291214
9331,"eui-b827ebffffef63c4","Single Channel Gateway","other",47.461,8.494,400,10.20956169749
9374,"eui-b827ebffff7cae4d","Single Channel Gateway","other",47.288,8.56078,492,9.9005093615159
9897,"eui-b827ebfffe6d0543","IMST + Rpi"," IMST + Rpi",47.2878,8.56102,492,9.92449682738314
