"id","device_id","last_online","rx_ok","tx_in","measured_at"
260933,16,"2017-09-14 18:00:00",7319,162,"2017-09-14 18:00:00"
264243,16,"2017-09-14 18:59:34",7319,162,"2017-09-14 19:00:00"
267553,16,"2017-09-14 19:59:38",7319,162,"2017-09-14 20:00:00"
270866,16,"2017-09-14 20:59:43",7319,162,"2017-09-14 21:00:00"
274179,16,"2017-09-14 21:59:47",7319,162,"2017-09-14 22:00:00"
277495,16,"2017-09-14 22:59:52",7319,162,"2017-09-14 23:00:00"
280811,16,"2017-09-14 23:59:56",7319,162,"2017-09-15 00:00:00"
284130,16,"2017-09-15 01:00:01",7319,162,"2017-09-15 01:00:00"
287451,16,"2017-09-15 01:59:35",7319,162,"2017-09-15 02:00:00"
290774,16,"2017-09-15 02:59:39",7319,162,"2017-09-15 03:00:00"
294100,16,"2017-09-15 03:59:44",7319,162,"2017-09-15 04:00:00"
297428,16,"2017-09-15 04:59:48",7319,162,"2017-09-15 05:00:00"
300758,16,"2017-09-15 05:59:53",7319,162,"2017-09-15 06:00:00"
304088,16,"2017-09-15 06:59:57",7319,162,"2017-09-15 07:00:00"
307420,16,"2017-09-15 08:00:02",7319,162,"2017-09-15 08:00:00"
310756,16,"2017-09-15 08:59:36",7319,162,"2017-09-15 09:00:00"
314096,16,"2017-09-15 09:59:41",7319,162,"2017-09-15 10:00:00"
317439,16,"2017-09-15 10:59:45",7319,162,"2017-09-15 11:00:00"
